"Page","Impressions","Clicks","CTR","Avg. Position"
"https://ritotabi.com/destinations/yoron-island/","360","9","2.5%","5.166670277777778"
"https://ritotabi.com/destinations/aka-island/","140","9","6.43%","4.764286428571429"
"https://ritotabi.com/destinations/yoron-island/beaches/","55","8","14.55%","3.0909199999999997"
"https://ritotabi.com/destinations/con-dao-island/","45","9","20%","3.333337777777778"
"https://ritotabi.com/destinations/miyako-island/beaches/","20","5","25%","3.4999949999999997"
"https://ritotabi.com/destinations/amami-island/","12","0","0%","6.916658333333333"
"https://ritotabi.com/destinations/kume-island/","8","0","0%","6.5"
"https://ritotabi.com/destinations/miyako-island/","7","1","14.290000000000001%","5.857142857142857"
"https://ritotabi.com/hotels/con-dao-island/","6","2","33.33%","1.8333333333333333"
"https://ritotabi.com/hotels/yoron-island/","5","2","40%","4.8"
"https://ritotabi.com/en/destinations/miyako-island/","4","0","0%","6.5"
"https://ritotabi.com/hotels/ishigaki-island/","4","0","0%","5"
"https://ritotabi.com/destinations/miyako-island/running/","3","0","0%","4.666666666666667"
"https://ritotabi.com/hotels/kume-island/","3","1","33.33%","2.6667"
"https://ritotabi.com/en/destinations/miyako-island/beaches/","2","0","0%","5.5"
"https://ritotabi.com/en/destinations/cham-island/","2","1","50%","4.5"
"https://ritotabi.com/en/destinations/ishigaki-island/","1","0","0%","5"
"https://ritotabi.com/destinations/yoron-island/running/","1","2","200%","1"
"https://ritotabi.com/destinations/ishigaki-island/running/","1","0","0%","2"
"https://ritotabi.com/hotels/miyako-island/","1","0","0%","5"
