"ページ","インプレッション","クリック数","CTR","平均の位置"
"https://ritotabi.com/destinations/aka-island/","493","21","4.26%","4.86612799188641"
"https://ritotabi.com/destinations/yoron-island/","136","3","2.21%","6.889703676470589"
"https://ritotabi.com/hotels/yoron-island/","91","2","2.2%","6.4285626373626386"
"https://ritotabi.com/destinations/con-dao-island/","49","2","4.08%","5.510216326530613"
"https://ritotabi.com/destinations/yoron-island/beaches/","46","3","6.5200000000000005%","5.36956304347826"
"https://ritotabi.com/hotels/aka-island/","41","3","7.32%","4.780473170731707"
"https://ritotabi.com/destinations/cham-island/","25","3","12%","5.44"
"https://ritotabi.com/en/destinations/hoian-old-town/running/","15","0","0%","4.333333333333333"
"https://ritotabi.com/destinations/kume-island/","7","2","28.57%","6.428571428571429"
"https://ritotabi.com/destinations/miyako-island/beaches/","6","1","16.67%","5.833333333333333"
"https://ritotabi.com/hotels/okinawa-main/","5","0","0%","5.8"
"https://ritotabi.com/hotels/an-bang/","5","1","20%","4"
"https://ritotabi.com/destinations/miyako-island/running/","4","0","0%","2.749975"
"https://ritotabi.com/en/destinations/cham-island/","4","0","0%","5"
"https://ritotabi.com/en/hotels/con-dao-island/","4","0","0%","5"
"https://ritotabi.com/en/hotels/yoron-island/","4","2","50%","1.5"
"https://ritotabi.com/hotels/con-dao-island/","3","2","66.67%","3.3333333333333335"
"https://ritotabi.com/en/hotels/an-bang/","3","0","0%","5.333333333333333"
"https://ritotabi.com/en/destinations/yoron-island/beaches/","3","1","33.33%","3.6666666666666665"
"https://ritotabi.com/hotels/ishigaki-island/","3","0","0%","8"
"https://ritotabi.com/en/destinations/miyako-island/beaches/","2","1","50%","1"
"https://ritotabi.com/","2","0","0%","10"
"https://ritotabi.com/destinations/miyako-island/","2","0","0%","6"
"https://ritotabi.com/japan/","2","0","0%","7"
"https://ritotabi.com/en/destinations/yoron-island/running/","1","0","0%","7"
"https://ritotabi.com/en/hotels/kume-island/","1","0","0%","2"
